CIU_Nombre;CIU_Abreviatura;CIU_IdDepartamento;CIU_Estado
CHIQUIZA;232;15;1
CHIVOR;236;15;1
DUITAMA;238;15;1
EL COCUY;244;15;1
EL ESPINO;248;15;1
FIRAVITOBA;272;15;1
FLORESTA;276;15;1
GACHANTIVA;293;15;1
GAMEZA;296;15;1
GARAGOA;299;15;1
GUACAMAYAS;317;15;1
GUATEQUE;322;15;1
GUAYATA;325;15;1
GÜICAN;332;15;1
IZA;362;15;1
JENESANO;367;15;1
JERICO;368;15;1
LABRANZAGRANDE;377;15;1
LA CAPILLA;380;15;1
LA VICTORIA;401;15;1
LA UVITA;403;15;1
VILLA DE LEYVA;407;15;1
MACANAL;425;15;1
MARIPI;442;15;1
MIRAFLORES;455;15;1
MONGUA;464;15;1
MONGUI;466;15;1
MONIQUIRA;469;15;1
MOTAVITA;476;15;1
MUZO;480;15;1
NOBSA;491;15;1
NUEVO COLON;494;15;1
OICATA;500;15;1
OTANCHE;507;15;1
PACHAVITA;511;15;1
PAEZ;514;15;1
PAIPA;516;15;1
PAJARITO;518;15;1
PANQUEBA;522;15;1
PAUNA;531;15;1
PAYA;533;15;1
PAZ DE RIO;537;15;1
PESCA;542;15;1
PISBA;550;15;1
PUERTO BOYACA;572;15;1
QUIPAMA;580;15;1
RAMIRIQUI;599;15;1
RAQUIRA;600;15;1
RONDON;621;15;1
SABOYA;632;15;1
SACHICA;638;15;1
SAMACA;646;15;1
SAN EDUARDO;660;15;1
SAN JOSE DE PARE;664;15;1
SAN LUIS DE GACENO;667;15;1
SAN MATEO;673;15;1
SAN MIGUEL DE SEMA;676;15;1
SAN PABLO DE BORBUR;681;15;1
SANTANA;686;15;1
SANTA MARIA;690;15;1
SANTA ROSA DE VITERBO;693;15;1
SANTA SOFIA;696;15;1
SATIVANORTE;720;15;1
SATIVASUR;723;15;1
SIACHOQUE;740;15;1
SOATA;753;15;1
SOCOTA;755;15;1
SOCHA;757;15;1
SOGAMOSO;759;15;1
SOMONDOCO;761;15;1
SORA;762;15;1
SOTAQUIRA;763;15;1
SORACA;764;15;1
SUSACON;774;15;1
SUTAMARCHAN;776;15;1
SUTATENZA;778;15;1
TASCO;790;15;1
TENZA;798;15;1
TIBANA;804;15;1
TIBASOSA;806;15;1
TINJACA;808;15;1
TIPACOQUE;810;15;1
TOCA;814;15;1
TOGÜI;816;15;1
TOPAGA;820;15;1
TOTA;822;15;1
TUNUNGUA;832;15;1
TURMEQUE;835;15;1
TUTA;837;15;1
TUTAZA;839;15;1
UMBITA;842;15;1
VENTAQUEMADA;861;15;1
VIRACACHA;879;15;1
ZETAQUIRA;897;15;1
AGUADAS;13;17;1
ANSERMA;42;17;1
ARANZAZU;50;17;1
BELALCAZAR;88;17;1
CHINCHINA;174;17;1
FILADELFIA;272;17;1
LA DORADA;380;17;1
LA MERCED;388;17;1
MANZANARES;433;17;1
MARMATO;442;17;1
MARQUETALIA;444;17;1
MARULANDA;446;17;1
NEIRA;486;17;1
NORCASIA;495;17;1
PACORA;513;17;1
PALESTINA;524;17;1
PENSILVANIA;541;17;1
RIOSUCIO;614;17;1
RISARALDA;616;17;1
SALAMINA;653;17;1
SAMANA;662;17;1
SAN JOSE;665;17;1
SUPIA;777;17;1
VICTORIA;867;17;1
VILLAMARIA;873;17;1
VITERBO;877;17;1
ALBANIA;29;18;1
BELEN DE LOS ANDAQUIES;94;18;1
CARTAGENA DEL CHAIRA;150;18;1
CURILLO;205;18;1
EL DONCELLO;247;18;1
EL PAUJIL;256;18;1
LA MONTAÑITA;410;18;1
MILAN;460;18;1
MORELIA;479;18;1
PUERTO RICO;592;18;1
SAN JOSE DE LA FRAGUA;610;18;1
SAN VICENTE DEL CAGUAN;753;18;1
SOLANO;756;18;1
SOLITA;785;18;1
VALPARAISO;860;18;1
ALMAGUER;22;19;1
ARGELIA;50;19;1
BALBOA;75;19;1
BOLIVAR;100;19;1
BUENOS AIRES;110;19;1
CAJIBIO;130;19;1
CALDONO;137;19;1
CALOTO;142;19;1
CORINTO;212;19;1
EL TAMBO;256;19;1
FLORENCIA;290;19;1
GUAPI;318;19;1
INZA;355;19;1
JAMBALO;364;19;1
LA SIERRA;392;19;1
LA VEGA;397;19;1
LOPEZ;418;19;1
MERCADERES;450;19;1
MIRANDA;455;19;1
MORALES;473;19;1
PADILLA;513;19;1
PAEZ;517;19;1
PATIA;532;19;1
PIAMONTE;533;19;1
PIENDAMO;548;19;1
PUERTO TEJADA;573;19;1
PURACE;585;19;1
ROSAS;622;19;1
SAN SEBASTIAN;693;19;1
SANTANDER DE QUILICHAO;698;19;1
SANTA ROSA;701;19;1
SILVIA;743;19;1
SOTARA;760;19;1
SUAREZ;780;19;1
SUCRE;785;19;1
TIMBIO;807;19;1
TIMBIQUI;809;19;1
TORIBIO;821;19;1
TOTORO;824;19;1
VILLA RICA;845;19;1
AGUACHICA;11;20;1
AGUSTIN CODAZZI;13;20;1
ASTREA;32;20;1
BECERRIL;45;20;1
BOSCONIA;60;20;1
CHIMICHAGUA;175;20;1
CHIRIGUANA;178;20;1
CURUMANI;228;20;1
EL COPEY;238;20;1
EL PASO;250;20;1
GAMARRA;295;20;1
GONZALEZ;310;20;1
LA GLORIA;383;20;1
LA JAGUA DE IBIRICO;400;20;1
MANAURE;443;20;1
PAILITAS;517;20;1
PELAYA;550;20;1
PUEBLO BELLO;570;20;1
RIO DE ORO;614;20;1
LA PAZ;621;20;1
SAN ALBERTO;710;20;1
SAN DIEGO;750;20;1
SAN MARTIN;770;20;1
TAMALAMEQUE;787;20;1
AYAPEL;68;23;1
BUENAVISTA;79;23;1
CANALETE;90;23;1
CERETE;162;23;1
CHIMA;168;23;1
CHINU;182;23;1
CIENAGA DE ORO;189;23;1
COTORRA;300;23;1
LA APARTADA;350;23;1
LORICA;417;23;1
LOS CORDOBAS;419;23;1
MOMIL;464;23;1
MONTELIBANO;466;23;1
MOÑITOS;500;23;1
PLANETA RICA;555;23;1
PUEBLO NUEVO;570;23;1
PUERTO ESCONDIDO;574;23;1
PUERTO LIBERTADOR;580;23;1
PURISIMA;586;23;1
SAHAGUN;660;23;1
SAN ANDRES DE SOTAVENTO;670;23;1
SAN ANTERO;672;23;1
SAN BERNARDO DEL VIENTO;675;23;1
SAN CARLOS;678;23;1
SAN PELAYO;686;23;1
TIERRALTA;807;23;1
VALENCIA;855;23;1
ALBAN;19;25;1
ANAPOIMA;35;25;1
ANOLAIMA;40;25;1
ARBELAEZ;53;25;1
BELTRAN;86;25;1
BITUIMA;95;25;1
BOJACA;99;25;1
CABRERA;120;25;1
CACHIPAY;123;25;1
CAJICA;126;25;1
CAPARRAPI;148;25;1
CAQUEZA;151;25;1
CARMEN DE CARUPA;154;25;1
CHAGUANI;168;25;1
CHIA;175;25;1
CHIPAQUE;178;25;1
CHOACHI;181;25;1
CHOCONTA;183;25;1
COGUA;200;25;1
COTA;214;25;1
CUCUNUBA;224;25;1
EL COLEGIO;245;25;1
EL PEÑON;258;25;1
EL ROSAL;260;25;1
FACATATIVA;269;25;1
FOMEQUE;279;25;1
FOSCA;281;25;1
FUNZA;286;25;1
FUQUENE;288;25;1
FUSAGASUGA;290;25;1
GACHALA;293;25;1
GACHANCIPA;295;25;1
GACHETA;297;25;1
GAMA;299;25;1
GIRARDOT;307;25;1
GRANADA;312;25;1
GUACHETA;317;25;1
GUADUAS;320;25;1
GUASCA;322;25;1
GUATAQUI;324;25;1
GUATAVITA;326;25;1
GUAYABAL DE SIQUIMA;328;25;1
GUAYABETAL;335;25;1
GUTIERREZ;339;25;1
JERUSALEN;368;25;1
JUNIN;372;25;1
LA CALERA;377;25;1
LA MESA;386;25;1
LA PALMA;394;25;1
LA PEÑA;398;25;1
LA VEGA;402;25;1
LENGUAZAQUE;407;25;1
MACHETA;426;25;1
MADRID;430;25;1
MANTA;436;25;1
MEDINA;438;25;1
MOSQUERA;473;25;1
NARIÑO;483;25;1
NEMOCON;486;25;1
NILO;488;25;1
NIMAIMA;489;25;1
NOCAIMA;491;25;1
VENECIA;506;25;1
PACHO;513;25;1
PAIME;518;25;1
PANDI;524;25;1
PARATEBUENO;530;25;1
PASCA;535;25;1
PUERTO SALGAR;572;25;1
PULI;580;25;1
QUEBRADANEGRA;592;25;1
QUETAME;594;25;1
QUIPILE;596;25;1
APULO;599;25;1
RICAURTE;612;25;1
SAN ANTONIO DEL TEQUENDAMA;645;25;1
SAN BERNARDO;649;25;1
SAN CAYETANO;653;25;1
SAN FRANCISCO;658;25;1
SAN JUAN DE RIO SECO;662;25;1
SASAIMA;718;25;1
SESQUILE;736;25;1
SIBATE;740;25;1
SILVANIA;743;25;1
SIMIJACA;745;25;1
SOACHA;754;25;1
SOPO;758;25;1
SUBACHOQUE;769;25;1
SUESCA;772;25;1
SUPATA;777;25;1
SUSA;779;25;1
SUTATAUSA;781;25;1
TABIO;785;25;1
TAUSA;793;25;1
TENA;797;25;1
TENJO;799;25;1
TIBACUY;805;25;1
TIBIRITA;807;25;1
TOCAIMA;815;25;1
TOCANCIPA;817;25;1
TOPAIPI;823;25;1
UBALA;839;25;1
UBAQUE;841;25;1
VILLA DE SAN DIEGO DE UBATE;843;25;1
UNE;845;25;1
UTICA;851;25;1
VERGARA;862;25;1
VIANI;867;25;1
VILLAGOMEZ;871;25;1
VILLAPINZON;873;25;1
VILLETA;875;25;1
VIOTA;878;25;1
YACOPI;885;25;1
ZIPACON;898;25;1
ZIPAQUIRA;899;25;1
ACANDI;6;27;1
ALTO BAUDO;25;27;1
ATRATO;50;27;1
BAGADO;73;27;1
BAHIA SOLANO;75;27;1
BAJO BAUDO;77;27;1
BELEN DE BAJIRA;86;27;1
BOJAYA;99;27;1
EL CANTON DEL SAN PABLO;135;27;1
CARMEN DEL DARIEN;150;27;1
CERTEGUI;160;27;1
CONDOTO;205;27;1
EL CARMEN DE ATRATO;245;27;1
EL LITORAL DEL SAN JUAN;250;27;1
ISTMINA;361;27;1
JURADO;372;27;1
LLORO;413;27;1
MEDIO ATRATO;425;27;1
MEDIO BAUDO;430;27;1
MEDIO SAN JUAN;450;27;1
NOVITA;491;27;1
NUQUI;495;27;1
RIO IRO;580;27;1
RIO QUITO;600;27;1
RIOSUCIO;615;27;1
SAN JOSE DEL PALMAR;660;27;1
SIPI;745;27;1
TADO;787;27;1
UNGUIA;800;27;1
UNION PANAMERICANA;810;27;1
ACEVEDO;6;41;1
AGRADO;13;41;1
AIPE;16;41;1
ALGECIRAS;20;41;1
ALTAMIRA;26;41;1
BARAYA;78;41;1
CAMPOALEGRE;132;41;1
COLOMBIA;206;41;1
ELIAS;244;41;1
GARZON;298;41;1
GIGANTE;306;41;1
GUADALUPE;319;41;1
HOBO;349;41;1
IQUIRA;357;41;1
ISNOS;359;41;1
LA ARGENTINA;378;41;1
LA PLATA;396;41;1
NATAGA;483;41;1
OPORAPA;503;41;1
PAICOL;518;41;1
PALERMO;524;41;1
PALESTINA;530;41;1
PITAL;548;41;1
PITALITO;551;41;1
RIVERA;615;41;1
SALADOBLANCO;660;41;1
SAN AGUSTIN;668;41;1
SANTA MARIA;676;41;1
SUAZA;770;41;1
TARQUI;791;41;1
TESALIA;797;41;1
TELLO;799;41;1
TERUEL;801;41;1
TIMANA;807;41;1
VILLAVIEJA;872;41;1
YAGUARA;885;41;1
ALBANIA;35;44;1
BARRANCAS;78;44;1
DIBULLA;90;44;1
DISTRACCION;98;44;1
EL MOLINO;110;44;1
FONSECA;279;44;1
HATONUEVO;378;44;1
LA JAGUA DEL PILAR;420;44;1
MAICAO;430;44;1
MANAURE;560;44;1
SAN JUAN DEL CESAR;650;44;1
URIBIA;847;44;1
URUMITA;855;44;1
VILLANUEVA;874;44;1
ALGARROBO;30;47;1
ARACATACA;53;47;1
ARIGUANI;58;47;1
CERRO SAN ANTONIO;161;47;1
CHIVOLO;170;47;1
CIENAGA;189;47;1
CONCORDIA;205;47;1
EL BANCO;245;47;1
EL PIÑON;258;47;1
EL RETEN;268;47;1
FUNDACION;288;47;1
GUAMAL;318;47;1
NUEVA GRANADA;460;47;1
PEDRAZA;541;47;1
PIJIÑO DEL CARMEN;545;47;1
PIVIJAY;551;47;1
PLATO;555;47;1
PUEBLOVIEJO;570;47;1
REMOLINO;605;47;1
SABANAS DE SAN ANGEL;660;47;1
SALAMINA;675;47;1
SAN ZENON;703;47;1
SANTA ANA;707;47;1
SANTA BARBARA DE PINTO;720;47;1
SITIONUEVO;745;47;1
TENERIFE;798;47;1
ZAPAYAN;960;47;1
ZONA BANANERA;980;47;1
ACACIAS;6;50;1
BARRANCA DE UPIA;110;50;1
CABUYARO;124;50;1
CASTILLA LA NUEVA;150;50;1
CUBARRAL;223;50;1
CUMARAL;226;50;1
EL CALVARIO;245;50;1
EL CASTILLO;251;50;1
EL DORADO;270;50;1
FUENTE DE ORO;287;50;1
GRANADA;313;50;1
GUAMAL;318;50;1
MAPIRIPAN;325;50;1
MESETAS;330;50;1
LA MACARENA;350;50;1
URIBE;370;50;1
LEJANIAS;400;50;1
PUERTO CONCORDIA;450;50;1
PUERTO GAITAN;568;50;1
PUERTO LOPEZ;573;50;1
PUERTO LLERAS;577;50;1
PUERTO RICO;590;50;1
RESTREPO;606;50;1
SAN CARLOS DE GUAROA;680;50;1
SAN JUAN DE ARAMA;683;50;1
SAN JUANITO;686;50;1
SAN MARTIN;689;50;1
VISTA HERMOSA;711;50;1
ALBAN;19;52;1
ALDANA;22;52;1
ANCUYA;36;52;1
ARBOLEDA;51;52;1
BARBACOAS;79;52;1
BELEN;83;52;1
BUESACO;110;52;1
COLON;203;52;1
CONSACA;207;52;1
CONTADERO;210;52;1
CORDOBA;215;52;1
CUASPUD;224;52;1
CUMBAL;227;52;1
CUMBITARA;233;52;1
CHACHAGÜI;240;52;1
EL CHARCO;250;52;1
EL PEÑOL;254;52;1
EL ROSARIO;256;52;1
EL TABLON DE GOMEZ;258;52;1
EL TAMBO;260;52;1
FUNES;287;52;1
GUACHUCAL;317;52;1
GUAITARILLA;320;52;1
GUALMATAN;323;52;1
ILES;352;52;1
IMUES;354;52;1
IPIALES;356;52;1
LA CRUZ;378;52;1
LA FLORIDA;381;52;1
LA LLANADA;385;52;1
LA TOLA;390;52;1
LA UNION;399;52;1
LEIVA;405;52;1
LINARES;411;52;1
LOS ANDES;418;52;1
MAGÜI;427;52;1
MALLAMA;435;52;1
MOSQUERA;473;52;1
NARIÑO;480;52;1
OLAYA HERRERA;490;52;1
OSPINA;506;52;1
FRANCISCO PIZARRO;520;52;1
POLICARPA;540;52;1
POTOSI;560;52;1
PROVIDENCIA;565;52;1
PUERRES;573;52;1
PUPIALES;585;52;1
RICAURTE;612;52;1
ROBERTO PAYAN;621;52;1
SAMANIEGO;678;52;1
SANDONA;683;52;1
SAN BERNARDO;685;52;1
SAN LORENZO;687;52;1
SAN PABLO;693;52;1
SAN PEDRO DE CARTAGO;694;52;1
SANTA BARBARA;696;52;1
SANTACRUZ;699;52;1
SAPUYES;720;52;1
TAMINANGO;786;52;1
TANGUA;788;52;1
TUMACO;835;52;1
TUQUERRES;838;52;1
YACUANQUER;885;52;1
ABREGO;3;54;1
ARBOLEDAS;51;54;1
BOCHALEMA;99;54;1
BUCARASICA;109;54;1
CACOTA;125;54;1
CACHIRA;128;54;1
CHINACOTA;172;54;1
CHITAGA;174;54;1
CONVENCION;206;54;1
CUCUTILLA;223;54;1
DURANIA;239;54;1
EL CARMEN;245;54;1
EL TARRA;250;54;1
EL ZULIA;261;54;1
GRAMALOTE;313;54;1
HACARI;344;54;1
HERRAN;347;54;1
LABATECA;377;54;1
LA ESPERANZA;385;54;1
LA PLAYA;398;54;1
LOS PATIOS;405;54;1
LOURDES;418;54;1
MUTISCUA;480;54;1
OCAÑA;498;54;1
PAMPLONA;518;54;1
PAMPLONITA;520;54;1
PUERTO SANTANDER;553;54;1
RAGONVALIA;599;54;1
SALAZAR;660;54;1
SAN CALIXTO;670;54;1
SAN CAYETANO;673;54;1
SANTIAGO;680;54;1
SARDINATA;720;54;1
SILOS;743;54;1
TEORAMA;800;54;1
TIBU;810;54;1
TOLEDO;820;54;1
VILLA CARO;871;54;1
VILLA DEL ROSARIO;874;54;1
BUENAVISTA;111;63;1
CALARCA;130;63;1
CIRCASIA;190;63;1
CORDOBA;212;63;1
FILANDIA;272;63;1
GENOVA;302;63;1
LA TEBAIDA;401;63;1
MONTENEGRO;470;63;1
PIJAO;548;63;1
QUIMBAYA;594;63;1
SALENTO;690;63;1
APIA;45;66;1
BALBOA;75;66;1
BELEN DE UMBRIA;88;66;1
DOSQUEBRADAS;170;66;1
GUATICA;318;66;1
LA CELIA;383;66;1
LA VIRGINIA;400;66;1
MARSELLA;440;66;1
MISTRATO;456;66;1
PUEBLO RICO;572;66;1
QUINCHIA;594;66;1
SANTA ROSA DE CABAL;682;66;1
SANTUARIO;687;66;1
AGUADA;13;68;1
ALBANIA;20;68;1
ARATOCA;51;68;1
BARBOSA;77;68;1
BARICHARA;79;68;1
BARRANCABERMEJA;81;68;1
BETULIA;92;68;1
BOLIVAR;101;68;1
CABRERA;121;68;1
CALIFORNIA;132;68;1
CAPITANEJO;147;68;1
CARCASI;152;68;1
CEPITA;160;68;1
CERRITO;162;68;1
CHARALA;167;68;1
CHARTA;169;68;1
CHIMA;176;68;1
CHIPATA;179;68;1
CIMITARRA;190;68;1
CONCEPCION;207;68;1
CONFINES;209;68;1
CONTRATACION;211;68;1
COROMORO;217;68;1
CURITI;229;68;1
EL CARMEN DE CHUCURI;235;68;1
EL GUACAMAYO;245;68;1
EL PEÑON;250;68;1
EL PLAYON;255;68;1
ENCINO;264;68;1
ENCISO;266;68;1
FLORIAN;271;68;1
FLORIDABLANCA;276;68;1
GALAN;296;68;1
GAMBITA;298;68;1
GIRON;307;68;1
GUACA;318;68;1
GUADALUPE;320;68;1
GUAPOTA;322;68;1
GUAVATA;324;68;1
GÜEPSA;327;68;1
HATO;344;68;1
JESUS MARIA;368;68;1
JORDAN;370;68;1
LA BELLEZA;377;68;1
LANDAZURI;385;68;1
LA PAZ;397;68;1
LEBRIJA;406;68;1
LOS SANTOS;418;68;1
MACARAVITA;425;68;1
MALAGA;432;68;1
MATANZA;444;68;1
MOGOTES;464;68;1
MOLAGAVITA;468;68;1
OCAMONTE;498;68;1
OIBA;500;68;1
ONZAGA;502;68;1
PALMAR;522;68;1
PALMAS DEL SOCORRO;524;68;1
PARAMO;533;68;1
PIEDECUESTA;547;68;1
PINCHOTE;549;68;1
PUENTE NACIONAL;572;68;1
PUERTO PARRA;573;68;1
PUERTO WILCHES;575;68;1
RIONEGRO;615;68;1
SABANA DE TORRES;655;68;1
SAN ANDRES;669;68;1
SAN BENITO;673;68;1
SAN GIL;679;68;1
SAN JOAQUIN;682;68;1
SAN JOSE DE MIRANDA;684;68;1
SAN MIGUEL;686;68;1
SAN VICENTE DE CHUCURI;689;68;1
SANTA BARBARA;705;68;1
SANTA HELENA DEL OPON;720;68;1
SIMACOTA;745;68;1
SOCORRO;755;68;1
SUAITA;770;68;1
SUCRE;773;68;1
SURATA;780;68;1
TONA;820;68;1
VALLE DE SAN JOSE;855;68;1
VELEZ;861;68;1
VETAS;867;68;1
VILLANUEVA;872;68;1
ZAPATOCA;895;68;1
BUENAVISTA;110;70;1
CAIMITO;124;70;1
COLOSO;204;70;1
COROZAL;215;70;1
CHALAN;230;70;1
EL ROBLE;233;70;1
GALERAS;235;70;1
GUARANDA;265;70;1
LA UNION;400;70;1
LOS PALMITOS;418;70;1
MAJAGUAL;429;70;1
MORROA;473;70;1
OVEJAS;508;70;1
PALMITO;523;70;1
SAMPUES;670;70;1
SAN BENITO ABAD;678;70;1
SAN JUAN DE BETULIA;702;70;1
SAN MARCOS;708;70;1
SAN ONOFRE;713;70;1
SAN PEDRO;717;70;1
SINCE;742;70;1
SUCRE;771;70;1
SANTIAGO DE TOLU;820;70;1
TOLUVIEJO;823;70;1
ALPUJARRA;24;73;1
ALVARADO;26;73;1
AMBALEMA;30;73;1
ANZOATEGUI;43;73;1
ARMERO;55;73;1
ATACO;67;73;1
CAJAMARCA;124;73;1
CARMEN DE APICALA;148;73;1
CASABIANCA;152;73;1
CHAPARRAL;168;73;1
COELLO;200;73;1
COYAIMA;217;73;1
CUNDAY;226;73;1
DOLORES;236;73;1
ESPINAL;268;73;1
FALAN;270;73;1
FLANDES;275;73;1
FRESNO;283;73;1
GUAMO;319;73;1
HERVEO;347;73;1
HONDA;349;73;1
ICONONZO;352;73;1
LERIDA;408;73;1
LIBANO;411;73;1
MARIQUITA;443;73;1
MELGAR;449;73;1
MURILLO;461;73;1
NATAGAIMA;483;73;1
ORTEGA;504;73;1
PALOCABILDO;520;73;1
PIEDRAS;547;73;1
PLANADAS;555;73;1
PRADO;563;73;1
PURIFICACION;585;73;1
RIOBLANCO;616;73;1
RONCESVALLES;622;73;1
ROVIRA;624;73;1
SALDAÑA;671;73;1
SAN ANTONIO;675;73;1
SAN LUIS;678;73;1
SANTA ISABEL;686;73;1
SUAREZ;770;73;1
VALLE DE SAN JUAN;854;73;1
VENADILLO;861;73;1
VILLAHERMOSA;870;73;1
VILLARRICA;873;73;1
ALCALA;20;76;1
ANDALUCIA;36;76;1
ANSERMANUEVO;41;76;1
ARGELIA;54;76;1
BOLIVAR;100;76;1
BUENAVENTURA;109;76;1
GUADALAJARA DE BUGA;111;76;1
BUGALAGRANDE;113;76;1
CAICEDONIA;122;76;1
CALIMA;126;76;1
CANDELARIA;130;76;1
CARTAGO;147;76;1
